"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.03.2026","183.105","189.284","189.602","180.518","14,37B","-3,28%"
"02.03.2026","189.307","188.786","190.110","186.638","9,09B","0,28%"
"27.02.2026","188.787","191.005","191.005","188.478","11,00B","-1,16%"
"26.02.2026","191.005","191.248","191.978","188.977","8,80B","-0,13%"
"25.02.2026","191.247","191.491","192.624","190.419","9,13B","-0,13%"
"24.02.2026","191.490","188.854","191.781","188.854","11,04B","1,40%"
"23.02.2026","188.853","190.532","191.003","188.526","9,90B","-0,88%"
"20.02.2026","190.534","188.531","190.727","186.700","9,99B","1,06%"
"19.02.2026","188.534","186.020","188.687","185.928","9,23B","1,35%"
"18.02.2026","186.016","186.464","187.657","185.001","7,79B","-0,24%"
"13.02.2026","186.464","187.766","187.766","183.662","11,59B","-0,69%"
"12.02.2026","187.766","189.694","189.990","186.959","12,36B","-1,02%"
"11.02.2026","189.699","185.936","190.561","185.936","11,64B","2,03%"
"10.02.2026","185.929","186.241","186.959","185.083","10,30B","-0,17%"
"09.02.2026","186.241","182.950","186.460","182.950","8,92B","1,80%"
"06.02.2026","182.950","182.128","183.262","181.391","9,90B","0,45%"
"05.02.2026","182.127","181.708","184.017","181.569","9,83B","0,23%"
"04.02.2026","181.708","185.671","185.671","180.269","10,73B","-2,14%"
"03.02.2026","185.674","182.816","187.334","182.816","10,76B","1,58%"
"02.02.2026","182.793","181.369","182.890","181.348","8,74B","0,79%"
