"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.01.2021","17,57","17,95","18,07","17,47","3,92M","-1,16%"
"05.01.2021","17,47","17,50","17,77","16,98","4,83M","-0,59%"
"06.01.2021","16,82","17,32","17,38","16,82","5,10M","-3,71%"
"07.01.2021","16,84","17,00","17,31","16,78","4,82M","0,11%"
"08.01.2021","18,00","16,98","18,44","16,84","9,43M","6,91%"
"11.01.2021","17,53","17,87","18,07","17,35","8,12M","-2,61%"
"12.01.2021","18,16","17,62","18,21","17,42","3,11M","3,58%"
"13.01.2021","18,96","18,15","19,32","18,01","8,73M","4,39%"
"14.01.2021","19,42","19,09","19,79","19,09","10,46M","2,42%"
"15.01.2021","19,04","19,03","19,62","18,76","4,63M","-1,93%"
"18.01.2021","18,83","19,20","19,40","18,78","2,34M","-1,08%"
"19.01.2021","18,71","19,00","19,03","18,63","2,32M","-0,67%"
"20.01.2021","18,69","18,75","19,22","18,64","2,42M","-0,10%"
"21.01.2021","18,10","18,68","18,80","18,02","3,01M","-3,14%"
"22.01.2021","18,04","17,93","18,25","17,83","2,27M","-0,37%"
"26.01.2021","17,69","18,12","18,42","17,61","2,34M","-1,89%"
"27.01.2021","17,83","17,64","18,12","17,47","2,51M","0,75%"
"28.01.2021","18,59","17,83","18,66","17,73","4,07M","4,25%"
"29.01.2021","18,01","18,44","18,76","18,01","2,76M","-3,11%"
"01.02.2021","18,31","18,31","18,47","18,04","2,26M","1,68%"
"02.02.2021","18,39","18,58","18,94","18,30","2,80M","0,41%"
"03.02.2021","19,14","18,44","19,47","18,44","5,62M","4,12%"
"04.02.2021","18,94","19,17","19,42","18,85","2,28M","-1,09%"
"05.02.2021","18,72","19,10","19,20","18,53","5,01M","-1,15%"
"08.02.2021","18,87","18,72","19,20","18,48","3,23M","0,81%"
"09.02.2021","18,57","18,81","18,87","18,43","2,00M","-1,61%"
"10.02.2021","18,07","18,67","18,84","18,00","3,53M","-2,65%"
"11.02.2021","18,49","18,19","18,59","17,97","4,86M","2,31%"
"12.02.2021","18,29","18,42","18,44","18,17","3,44M","-1,08%"
"17.02.2021","17,98","18,15","18,23","17,89","3,03M","-1,71%"
"18.02.2021","17,57","17,96","18,15","17,52","4,91M","-2,27%"
"19.02.2021","17,42","17,62","17,76","17,23","5,86M","-0,86%"
"22.02.2021","16,78","17,13","17,17","16,40","7,37M","-3,70%"
"23.02.2021","16,75","16,86","16,91","16,46","3,69M","-0,17%"
"24.02.2021","16,61","16,78","17,03","16,53","3,56M","-0,79%"
"25.02.2021","16,28","16,61","16,73","16,22","6,47M","-2,00%"
"26.02.2021","15,94","16,33","16,62","15,90","4,05M","-2,10%"
"01.03.2021","15,67","16,13","16,15","15,64","2,28M","-1,72%"
"02.03.2021","15,69","15,49","15,88","14,91","6,21M","0,18%"
"03.03.2021","15,66","15,64","15,83","14,79","5,83M","-0,24%"
"04.03.2021","15,83","15,83","16,15","15,61","5,71M","1,09%"
"05.03.2021","16,19","15,83","16,27","15,39","4,75M","2,28%"
