"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.01.2021","21,40","21,42","22,04","21,40","165,60K","0,00%"
"05.01.2021","22,00","21,42","22,00","20,59","246,80K","2,80%"
"06.01.2021","22,26","22,00","22,56","21,83","371,20K","1,21%"
"07.01.2021","22,68","22,60","23,24","22,26","442,80K","1,88%"
"08.01.2021","22,17","22,94","22,94","22,17","1,67M","-2,26%"
"11.01.2021","22,68","22,24","22,85","22,08","330,40K","2,32%"
"12.01.2021","23,29","22,68","23,61","22,68","612,80K","2,68%"
"13.01.2021","23,24","23,48","23,97","23,02","247,60K","-0,22%"
"14.01.2021","23,92","23,25","23,92","23,25","254,70K","2,91%"
"15.01.2021","23,11","23,81","23,81","22,82","248,60K","-3,36%"
"18.01.2021","23,10","23,15","23,71","22,98","185,90K","-0,04%"
"19.01.2021","22,43","23,24","23,45","22,14","252,80K","-2,89%"
"20.01.2021","22,80","22,63","23,17","22,46","198,10K","1,64%"
"21.01.2021","22,61","22,81","23,08","22,37","186,20K","-0,86%"
"22.01.2021","22,59","22,34","22,59","21,75","326,10K","-0,08%"
"26.01.2021","22,77","22,25","22,96","22,25","245,70K","0,80%"
"27.01.2021","22,02","22,78","22,78","21,97","243,10K","-3,27%"
"28.01.2021","22,39","22,05","22,57","22,01","159,60K","1,67%"
"29.01.2021","22,07","22,38","22,63","21,83","188,40K","-1,45%"
"01.02.2021","22,68","22,37","22,94","22,25","351,70K","2,79%"
"02.02.2021","22,07","22,89","23,43","22,07","582,00K","-2,72%"
"03.02.2021","21,36","22,29","22,61","21,26","1,34M","-3,22%"
"04.02.2021","20,54","20,97","21,10","20,11","1,96M","-3,81%"
"05.02.2021","20,35","20,67","20,73","19,58","1,77M","-0,92%"
"08.02.2021","20,54","20,42","20,89","20,17","1,36M","0,93%"
"09.02.2021","20,50","20,55","20,63","20,12","675,30K","-0,21%"
"10.02.2021","19,77","20,41","20,45","19,41","943,60K","-3,55%"
"11.02.2021","19,80","19,99","20,01","19,71","492,30K","0,13%"
"12.02.2021","19,69","19,80","19,96","19,59","737,50K","-0,56%"
"17.02.2021","19,43","19,73","19,89","19,26","579,00K","-1,30%"
"18.02.2021","19,26","19,45","19,73","19,14","712,20K","-0,88%"
"19.02.2021","19,39","19,26","19,66","19,04","686,50K","0,67%"
"22.02.2021","19,47","19,12","19,49","18,87","878,10K","0,44%"
"23.02.2021","19,60","19,53","19,63","19,06","1,05M","0,66%"
"24.02.2021","19,87","19,62","20,29","19,47","1,24M","1,35%"
"25.02.2021","19,45","19,88","20,05","19,34","529,80K","-2,11%"
"26.02.2021","18,84","19,46","19,69","18,63","875,00K","-3,12%"
"01.03.2021","19,33","19,05","19,45","18,87","659,30K","2,59%"
"02.03.2021","19,57","19,17","19,58","18,85","656,60K","1,24%"
"03.03.2021","19,63","19,56","19,63","18,87","458,20K","0,31%"
"04.03.2021","19,56","19,63","19,93","19,26","436,00K","-0,35%"
"05.03.2021","19,99","19,56","20,00","19,30","283,60K","2,19%"
"08.03.2021","19,69","19,82","20,54","19,35","1,05M","-1,50%"
"09.03.2021","19,22","19,80","19,80","19,04","630,70K","-2,35%"
"10.03.2021","19,08","19,34","19,43","18,73","589,10K","-0,76%"
"11.03.2021","18,98","19,10","19,28","18,87","406,30K","-0,54%"
"12.03.2021","18,96","19,17","19,21","18,91","241,60K","-0,09%"
"15.03.2021","19,68","18,98","19,69","18,89","325,30K","3,79%"
"16.03.2021","19,64","19,68","19,86","19,47","217,10K","-0,22%"
"17.03.2021","19,91","19,64","19,99","19,35","493,60K","1,39%"
"18.03.2021","19,38","19,94","19,94","19,23","424,30K","-2,67%"
"19.03.2021","19,56","19,26","19,88","19,26","272,10K","0,93%"
"22.03.2021","19,64","19,77","19,90","19,48","426,90K","0,39%"
"23.03.2021","19,14","19,63","19,63","19,04","238,70K","-2,53%"
"24.03.2021","19,10","19,22","19,40","18,81","608,80K","-0,22%"
"25.03.2021","18,66","19,13","19,15","18,18","612,90K","-2,29%"
"26.03.2021","18,75","18,75","19,00","18,66","437,70K","0,50%"
"29.03.2021","18,60","18,68","18,87","18,42","430,70K","-0,82%"
"30.03.2021","18,97","18,63","19,00","18,62","213,90K","1,98%"
"31.03.2021","19,45","18,97","19,58","18,83","380,20K","2,53%"
"01.04.2021","19,63","19,46","19,78","19,36","334,00K","0,92%"
"05.04.2021","19,88","19,79","19,90","19,52","1,47M","1,26%"
"06.04.2021","20,43","19,86","20,95","19,81","870,50K","2,80%"
"07.04.2021","20,29","20,54","20,89","20,23","620,00K","-0,67%"
"08.04.2021","20,67","20,53","20,89","20,37","435,90K","1,86%"
"09.04.2021","21,36","20,72","21,57","20,71","891,30K","3,31%"
"12.04.2021","21,87","21,36","22,43","21,36","1,43M","2,40%"
"13.04.2021","21,61","22,10","22,51","21,36","827,70K","-1,17%"
"14.04.2021","22,00","21,67","22,19","21,66","794,90K","1,78%"
"15.04.2021","22,68","22,02","23,00","21,83","1,47M","3,11%"
"16.04.2021","23,87","22,77","23,87","22,54","1,52M","5,25%"
"19.04.2021","25,42","23,87","25,85","23,63","2,27M","6,49%"
"20.04.2021","25,55","25,42","25,97","24,67","1,50M","0,51%"
"22.04.2021","25,94","25,56","26,39","24,92","4,77M","1,54%"
"23.04.2021","25,94","26,18","26,55","25,64","910,90K","-0,03%"
"26.04.2021","25,21","25,94","26,34","25,13","971,40K","-2,81%"
"27.04.2021","25,28","25,25","25,91","25,25","656,30K","0,27%"
"28.04.2021","26,28","25,38","26,51","25,38","909,10K","3,96%"
"29.04.2021","27,84","26,53","27,94","26,37","1,45M","5,93%"
"30.04.2021","29,49","27,87","29,78","27,87","2,94M","5,93%"
"03.05.2021","29,83","29,94","30,39","28,96","1,72M","1,16%"
"04.05.2021","29,32","29,87","30,47","29,31","1,23M","-1,72%"
"05.05.2021","30,93","29,53","30,93","29,53","1,18M","5,49%"
"06.05.2021","30,10","30,94","31,22","29,60","1,18M","-2,66%"
"07.05.2021","29,87","30,28","30,35","29,31","948,90K","-0,77%"
"10.05.2021","29,10","30,30","30,69","29,10","1,60M","-2,58%"
"11.05.2021","28,53","29,02","29,55","27,48","3,26M","-1,97%"
"12.05.2021","28,18","28,66","29,23","28,14","2,14M","-1,23%"
"13.05.2021","28,01","28,20","29,10","27,90","1,40M","-0,61%"
"14.05.2021","27,83","28,49","28,49","27,61","580,20K","-0,64%"
"17.05.2021","27,63","27,82","28,23","26,96","706,20K","-0,71%"
"18.05.2021","27,56","27,79","27,79","27,14","690,00K","-0,25%"
"19.05.2021","27,05","27,54","27,78","26,79","624,20K","-1,86%"
"20.05.2021","27,04","26,99","27,09","26,63","497,20K","-0,03%"
"21.05.2021","26,25","27,13","27,36","25,94","783,70K","-2,91%"
"24.05.2021","26,07","26,25","26,25","25,39","695,70K","-0,68%"
"25.05.2021","25,93","26,26","26,68","25,69","754,80K","-0,56%"
"26.05.2021","26,33","25,70","26,40","25,40","836,10K","1,55%"
"27.05.2021","26,84","26,47","27,30","26,15","1,57M","1,95%"
"28.05.2021","26,96","27,13","27,43","26,35","1,02M","0,45%"
"31.05.2021","27,78","27,45","28,19","27,25","1,35M","3,02%"
"01.06.2021","28,42","27,84","28,74","27,62","1,35M","2,31%"
"02.06.2021","28,91","28,59","29,52","28,19","1,26M","1,72%"
"04.06.2021","28,72","29,07","29,60","28,44","1,15M","-0,65%"
"07.06.2021","28,94","28,85","29,33","28,48","792,30K","0,77%"
"08.06.2021","28,31","28,98","29,53","27,80","957,30K","-2,16%"
"09.06.2021","27,73","28,25","28,73","27,18","985,50K","-2,06%"
"10.06.2021","27,86","27,66","28,20","27,64","363,80K","0,46%"
"11.06.2021","27,29","27,86","27,90","27,01","441,20K","-2,06%"
"14.06.2021","27,12","27,41","27,65","26,75","405,10K","-0,63%"
"15.06.2021","28,16","27,12","28,50","26,81","919,20K","3,85%"
"16.06.2021","27,19","28,27","28,43","26,79","1,69M","-3,43%"
"17.06.2021","26,35","27,19","27,34","26,19","650,20K","-3,08%"
"18.06.2021","26,78","26,35","26,78","25,82","817,30K","1,62%"
"21.06.2021","26,35","27,05","27,10","26,21","457,10K","-1,60%"
"22.06.2021","26,38","26,29","26,67","26,11","415,60K","0,10%"
"23.06.2021","26,23","26,58","26,64","26,07","470,90K","-0,55%"
"24.06.2021","25,96","26,25","26,50","25,85","444,10K","-1,04%"
"25.06.2021","25,33","26,02","26,17","24,99","939,20K","-2,44%"
"28.06.2021","25,51","25,22","25,74","24,87","778,10K","0,71%"
"29.06.2021","25,11","25,51","25,52","24,74","676,30K","-1,54%"
"30.06.2021","25,68","25,06","26,02","24,87","1,23M","2,25%"
"01.07.2021","25,31","25,68","25,88","25,25","521,70K","-1,43%"
"02.07.2021","25,70","25,53","25,98","25,30","614,10K","1,52%"
"05.07.2021","26,62","25,90","26,69","25,77","835,10K","3,60%"
"06.07.2021","25,76","26,68","26,68","25,64","725,40K","-3,25%"
"07.07.2021","26,02","26,05","26,09","25,33","515,80K","1,03%"
"08.07.2021","25,46","25,86","25,86","25,34","435,70K","-2,14%"
"12.07.2021","24,57","25,67","25,69","24,51","1,95M","-3,53%"
"13.07.2021","24,56","24,57","24,82","24,34","703,10K","-0,03%"
"14.07.2021","24,81","24,62","25,00","24,53","329,70K","1,05%"
"15.07.2021","24,49","24,81","24,88","24,37","532,30K","-1,31%"
"16.07.2021","24,64","24,99","24,99","24,35","446,80K","0,63%"
"19.07.2021","24,27","24,39","24,51","24,05","358,20K","-1,53%"
"20.07.2021","24,35","24,27","24,49","24,10","492,50K","0,35%"
"21.07.2021","24,62","24,47","24,62","24,21","350,20K","1,09%"
"22.07.2021","24,39","24,61","24,61","24,27","305,80K","-0,94%"
"23.07.2021","24,21","24,44","24,45","24,06","253,30K","-0,70%"
"26.07.2021","24,21","24,28","24,38","23,81","360,80K","-0,04%"
"27.07.2021","24,69","24,07","24,99","24,02","674,70K","2,02%"
"28.07.2021","24,82","24,69","24,82","24,32","582,00K","0,52%"
"29.07.2021","24,89","24,82","25,23","24,48","375,50K","0,28%"
"30.07.2021","24,73","24,81","24,96","24,43","353,70K","-0,65%"
"02.08.2021","24,77","24,78","24,95","24,46","410,00K","0,17%"
"03.08.2021","24,94","24,78","24,94","24,20","570,00K","0,69%"
"04.08.2021","24,45","24,82","24,89","24,33","465,20K","-1,96%"
"05.08.2021","24,63","24,49","24,85","24,42","348,30K","0,74%"
"06.08.2021","24,75","24,58","24,99","24,50","288,30K","0,45%"
"09.08.2021","24,27","24,61","24,99","24,14","753,20K","-1,90%"
"10.08.2021","24,43","24,27","24,67","24,20","357,40K","0,63%"
"11.08.2021","24,45","24,44","24,60","24,22","206,80K","0,11%"
"12.08.2021","24,18","24,44","24,52","24,18","335,60K","-1,12%"
"13.08.2021","23,50","24,19","24,26","23,50","503,40K","-2,80%"
"16.08.2021","22,30","23,50","23,50","22,19","768,80K","-5,13%"
"17.08.2021","21,90","22,29","22,33","21,31","1,24M","-1,80%"
"18.08.2021","21,92","21,87","22,12","21,36","489,80K","0,12%"
"19.08.2021","22,48","21,52","22,76","21,41","465,40K","2,54%"
"20.08.2021","22,51","22,31","22,70","22,15","415,50K","0,15%"
"23.08.2021","22,76","22,51","23,01","22,34","665,90K","1,10%"
"24.08.2021","23,11","22,96","23,30","22,85","250,70K","1,54%"
"25.08.2021","22,97","23,00","23,37","22,83","210,70K","-0,59%"
"26.08.2021","23,09","22,96","23,39","22,77","408,70K","0,52%"
"27.08.2021","23,02","23,20","23,20","22,48","626,50K","-0,30%"
"30.08.2021","23,95","22,94","24,08","22,94","810,00K","4,01%"
"31.08.2021","23,88","23,90","24,17","23,26","1,02M","-0,29%"
"01.09.2021","25,85","25,18","26,21","25,17","2,52M","8,24%"
"02.09.2021","25,11","25,76","25,85","25,08","1,42M","-2,85%"
"03.09.2021","24,08","25,21","25,21","24,08","1,16M","-4,12%"
"06.09.2021","23,98","23,82","24,45","23,80","647,90K","-0,43%"
"08.09.2021","23,23","23,93","24,13","23,10","851,60K","-3,11%"
"09.09.2021","23,85","23,23","24,00","23,05","540,50K","2,65%"
"10.09.2021","24,39","24,20","24,61","23,76","645,50K","2,30%"
"13.09.2021","24,91","24,75","25,33","24,57","732,30K","2,11%"
"14.09.2021","24,89","24,91","25,38","24,74","560,10K","-0,07%"
"15.09.2021","24,96","24,88","25,12","24,70","560,20K","0,28%"
"16.09.2021","25,04","24,75","25,28","24,72","320,80K","0,34%"
"17.09.2021","24,86","24,99","25,16","24,57","906,00K","-0,75%"
"20.09.2021","23,75","24,39","24,57","23,66","707,40K","-4,44%"
"21.09.2021","24,15","23,98","24,39","23,81","449,20K","1,69%"
"22.09.2021","24,82","24,58","25,16","24,28","595,90K","2,76%"
"23.09.2021","25,52","25,34","25,70","24,93","617,90K","2,83%"
"24.09.2021","25,47","25,36","25,52","24,91","235,70K","-0,20%"
"27.09.2021","25,60","25,63","26,04","25,43","407,40K","0,50%"
"28.09.2021","24,99","25,64","25,79","24,81","403,90K","-2,37%"
"29.09.2021","25,72","25,05","25,76","24,59","851,70K","2,91%"
"30.09.2021","26,06","25,76","26,88","25,76","1,44M","1,33%"
"01.10.2021","26,23","26,45","27,07","25,88","898,60K","0,66%"
"04.10.2021","26,40","26,28","27,16","25,80","970,30K","0,62%"
"05.10.2021","26,41","26,58","26,84","26,17","603,80K","0,06%"
"06.10.2021","26,07","26,19","26,21","25,34","897,50K","-1,30%"
"07.10.2021","26,66","26,29","27,12","26,29","1,18M","2,27%"
"08.10.2021","27,83","28,03","28,41","27,48","1,36M","4,37%"
"11.10.2021","28,04","27,90","28,66","27,90","590,70K","0,77%"
"13.10.2021","27,82","28,09","29,32","27,73","1,18M","-0,79%"
"14.10.2021","28,04","27,71","28,54","27,71","802,40K","0,80%"
"15.10.2021","28,43","28,06","28,83","27,95","825,50K","1,37%"
"18.10.2021","28,26","28,58","29,01","28,12","880,30K","-0,57%"
"19.10.2021","27,75","28,21","28,38","27,60","677,40K","-1,82%"
"20.10.2021","26,89","27,75","27,75","26,89","792,00K","-3,08%"
"21.10.2021","25,91","26,62","26,66","25,54","1,48M","-3,66%"
"22.10.2021","25,64","25,42","25,98","24,70","1,07M","-1,02%"
"25.10.2021","26,15","25,64","26,26","25,55","825,10K","1,97%"
"26.10.2021","25,14","26,12","26,17","25,11","746,90K","-3,86%"
"27.10.2021","24,72","25,76","25,76","24,61","1,05M","-1,67%"
"28.10.2021","24,29","24,60","24,83","24,02","989,40K","-1,75%"
"29.10.2021","23,78","24,38","24,56","23,54","1,16M","-2,09%"
"01.11.2021","23,87","23,96","24,27","23,73","776,60K","0,40%"
"03.11.2021","24,50","23,84","24,53","23,53","863,70K","2,64%"
"04.11.2021","23,89","24,61","24,67","23,46","1,08M","-2,50%"
"05.11.2021","25,07","24,13","25,07","24,08","597,20K","4,93%"
"08.11.2021","26,20","25,09","26,44","24,98","1,30M","4,51%"
"09.11.2021","26,55","26,06","27,36","26,06","1,64M","1,33%"
"10.11.2021","25,96","26,58","26,60","25,75","1,27M","-2,20%"
"11.11.2021","25,97","26,35","26,47","25,88","1,07M","0,04%"
"12.11.2021","24,94","25,92","26,24","24,92","1,12M","-3,99%"
"16.11.2021","24,19","25,04","25,14","24,11","1,30M","-2,98%"
"17.11.2021","23,53","24,35","24,50","23,26","1,05M","-2,76%"
"18.11.2021","23,28","23,53","23,90","23,17","759,00K","-1,04%"
"19.11.2021","23,05","23,27","23,64","23,01","841,20K","-1,01%"
"22.11.2021","22,76","23,19","23,53","22,55","784,10K","-1,23%"
"23.11.2021","22,87","22,87","22,90","22,52","576,90K","0,45%"
"24.11.2021","23,23","22,79","23,27","22,36","787,50K","1,61%"
"25.11.2021","23,79","23,25","24,24","23,13","682,40K","2,39%"
"26.11.2021","23,15","23,20","23,22","22,62","694,60K","-2,69%"
"29.11.2021","23,03","23,36","23,69","22,91","541,50K","-0,53%"
"30.11.2021","22,16","23,07","23,07","21,92","906,70K","-3,76%"
"01.12.2021","22,08","22,39","23,06","21,87","1,08M","-0,38%"
"02.12.2021","22,30","22,29","22,58","21,87","973,10K","1,02%"
"03.12.2021","22,60","22,38","22,97","22,28","447,90K","1,35%"
"06.12.2021","22,84","22,83","23,13","22,65","535,20K","1,04%"
"07.12.2021","22,87","23,16","23,69","22,76","834,30K","0,12%"
"08.12.2021","23,62","23,07","23,81","23,01","603,50K","3,29%"
"09.12.2021","23,20","23,42","23,48","22,89","459,30K","-1,79%"
"10.12.2021","23,47","23,50","23,75","23,30","373,20K","1,18%"
"13.12.2021","24,22","23,58","24,33","23,52","528,50K","3,21%"
"14.12.2021","24,05","24,43","24,69","23,83","658,00K","-0,70%"
"15.12.2021","24,16","24,17","24,18","23,53","577,70K","0,43%"
"16.12.2021","24,85","24,19","25,59","24,19","636,80K","2,88%"
"17.12.2021","24,35","24,85","24,85","24,05","508,90K","-2,01%"
"20.12.2021","24,60","24,27","25,36","24,12","1,08M","1,01%"
"21.12.2021","25,21","24,57","25,33","24,49","570,10K","2,49%"
"22.12.2021","26,11","25,24","26,11","25,24","740,80K","3,58%"
"23.12.2021","25,94","26,12","26,35","25,85","495,50K","-0,68%"
"27.12.2021","25,99","25,94","26,29","25,75","341,20K","0,22%"
"28.12.2021","26,62","26,16","26,81","25,94","694,40K","2,43%"
"29.12.2021","26,71","26,80","27,22","26,67","481,20K","0,32%"
"30.12.2021","27,10","26,74","27,40","26,60","688,80K","1,48%"
"03.01.2022","26,70","27,26","27,64","26,50","590,60K","-1,49%"
"04.01.2022","25,79","26,87","27,16","25,69","885,00K","-3,39%"
"05.01.2022","25,88","25,80","26,64","25,38","1,31M","0,33%"
"06.01.2022","26,61","25,92","27,38","25,92","1,36M","2,84%"
"07.01.2022","26,42","26,74","26,88","26,15","515,10K","-0,74%"
"10.01.2022","26,26","26,40","26,97","26,10","370,50K","-0,61%"
"11.01.2022","26,04","26,26","26,72","25,92","409,10K","-0,82%"
"12.01.2022","26,23","25,93","26,47","25,93","416,30K","0,72%"
"13.01.2022","26,50","26,43","26,54","26,08","279,40K","1,04%"
"14.01.2022","26,52","26,18","26,76","26,15","343,70K","0,07%"
"17.01.2022","26,14","26,53","26,74","26,10","260,40K","-1,42%"
"18.01.2022","25,90","26,14","26,14","25,60","304,90K","-0,94%"
"19.01.2022","26,48","25,98","26,75","25,98","625,80K","2,25%"
"20.01.2022","26,43","26,50","27,10","26,32","651,30K","-0,18%"
"21.01.2022","25,68","26,40","26,40","25,64","388,10K","-2,85%"
"24.01.2022","24,76","25,63","25,77","24,59","504,00K","-3,59%"
"25.01.2022","25,16","24,60","25,41","24,60","405,00K","1,63%"
"26.01.2022","24,75","25,37","25,77","24,75","552,20K","-1,65%"
"27.01.2022","24,86","24,76","24,95","24,45","590,10K","0,46%"
"28.01.2022","25,45","24,62","25,65","24,62","454,30K","2,35%"
"31.01.2022","26,30","25,47","26,53","25,40","733,00K","3,37%"
"01.02.2022","27,38","26,47","27,44","26,03","1,12M","4,12%"
"02.02.2022","27,25","27,34","27,38","26,58","757,90K","-0,48%"
"03.02.2022","26,50","27,25","27,49","26,15","934,60K","-2,76%"
"04.02.2022","26,30","26,50","26,51","25,63","606,70K","-0,75%"
"07.02.2022","27,08","26,29","27,25","26,26","682,90K","2,97%"
"08.02.2022","26,93","27,03","27,03","26,57","274,30K","-0,56%"
"09.02.2022","27,77","27,06","27,86","26,76","799,60K","3,11%"
"10.02.2022","28,42","27,86","28,45","27,86","703,50K","2,34%"
"11.02.2022","28,15","28,35","28,45","27,89","831,50K","-0,96%"
"14.02.2022","28,49","28,23","28,83","28,15","696,60K","1,20%"
"15.02.2022","28,04","28,67","28,67","27,87","691,40K","-1,55%"
"16.02.2022","28,55","28,06","28,57","27,98","690,70K","1,81%"
"17.02.2022","28,86","28,51","29,01","28,04","827,00K","1,09%"
"18.02.2022","27,87","29,02","29,11","27,52","1,00M","-3,42%"
"21.02.2022","28,02","27,87","28,85","27,87","766,00K","0,51%"
"22.02.2022","28,88","28,09","28,92","27,96","733,60K","3,09%"
"23.02.2022","29,31","28,88","29,58","28,71","942,70K","1,47%"
"24.02.2022","30,50","28,96","30,58","28,43","1,15M","4,08%"
"25.02.2022","30,92","30,50","30,97","30,20","1,08M","1,39%"
"02.03.2022","31,86","31,09","32,32","30,98","1,34M","3,01%"
"03.03.2022","32,09","31,97","32,27","31,55","1,33M","0,74%"
"04.03.2022","32,16","31,82","32,46","31,80","1,28M","0,21%"
"07.03.2022","32,86","32,19","32,86","31,57","1,83M","2,20%"
"08.03.2022","31,04","32,96","33,03","30,98","1,97M","-5,56%"
"09.03.2022","31,39","31,07","31,74","30,34","1,10M","1,12%"
"10.03.2022","31,62","31,14","31,95","30,91","1,02M","0,75%"
"11.03.2022","25,01","25,55","25,68","24,79","610,40K","-20,92%"
"14.03.2022","25,07","25,04","25,50","24,54","706,30K","0,24%"
"15.03.2022","24,29","25,06","25,30","24,14","648,20K","-3,11%"
"16.03.2022","24,29","24,14","24,86","23,69","646,90K","0,03%"
"17.03.2022","25,13","24,28","25,21","24,13","851,20K","3,46%"
"18.03.2022","25,36","25,25","25,82","25,12","3,18M","0,90%"
"21.03.2022","25,54","25,36","26,26","25,36","667,00K","0,69%"
"22.03.2022","25,36","25,59","25,97","25,15","472,40K","-0,68%"
"23.03.2022","25,78","25,38","25,85","24,93","578,50K","1,64%"
"24.03.2022","24,46","25,58","25,72","24,37","1,21M","-5,11%"
"25.03.2022","24,36","24,51","24,57","23,89","993,60K","-0,43%"
"28.03.2022","24,20","24,43","24,67","23,86","787,20K","-0,62%"
"29.03.2022","24,18","24,25","24,46","23,83","951,60K","-0,09%"
"30.03.2022","24,01","24,23","24,32","23,95","498,40K","-0,69%"
"31.03.2022","24,12","24,09","24,15","23,77","568,60K","0,44%"
"01.04.2022","24,19","24,20","24,70","23,93","794,20K","0,28%"
"04.04.2022","24,37","24,23","24,45","23,55","739,30K","0,75%"
"05.04.2022","24,98","25,08","25,41","24,78","1,38M","2,52%"
"06.04.2022","25,97","25,27","25,97","24,98","1,40M","3,94%"
"07.04.2022","26,04","25,85","26,29","25,74","1,43M","0,29%"
"08.04.2022","24,92","25,73","25,73","23,97","1,91M","-4,30%"
"11.04.2022","25,28","24,87","25,68","24,71","648,10K","1,45%"
"12.04.2022","25,20","25,35","25,88","25,14","813,20K","-0,35%"
"13.04.2022","24,75","25,29","25,64","24,65","473,20K","-1,76%"
"14.04.2022","25,33","24,79","25,49","24,53","912,70K","2,34%"
"18.04.2022","26,35","25,33","26,51","25,21","922,30K","4,00%"
"19.04.2022","25,84","26,30","26,80","25,66","996,60K","-1,92%"
"20.04.2022","26,16","25,88","26,50","25,61","728,00K","1,24%"
"22.04.2022","25,75","26,23","26,23","25,60","518,10K","-1,57%"
"25.04.2022","26,04","25,63","26,23","25,10","651,40K","1,12%"
"26.04.2022","27,13","25,96","27,21","25,96","1,32M","4,17%"
